seed,dataset,model,query_id,latency_ms,metric_name,metric_value,backend
7,synthetic_research_collection,hybrid,s7_q014,51.483,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q015,53.131,ndcg@3,0.7039,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q015,53.131,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q015,53.131,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q015,53.131,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q016,52.588,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q016,52.588,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q016,52.588,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q016,52.588,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q017,51.925,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q017,51.925,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q017,51.925,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q017,51.925,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q018,51.181,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q018,51.181,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q018,51.181,ndcg@3,0.7039,cross_encoder
7,synthetic_research_collection,hybrid,s7_q018,51.181,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q019,51.938,ndcg@3,0.2961,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q019,51.938,ndcg@3,0.2346,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q019,51.938,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q019,51.938,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q020,51.56,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q020,51.56,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q020,51.56,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q020,51.56,ndcg@3,0.7654,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q021,51.37,ndcg@3,0.4693,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q021,51.37,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q021,51.37,ndcg@3,1.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q021,51.37,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q022,51.059,ndcg@3,0.2346,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q022,51.059,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q022,51.059,ndcg@3,0.4693,cross_encoder
7,synthetic_research_collection,hybrid,s7_q022,51.059,ndcg@3,0.2961,cross_encoder
7,synthetic_research_collection,dense_exact,s7_q023,51.823,ndcg@3,0.0,sentence_transformer
7,synthetic_research_collection,cross_encoder,s7_q023,51.823,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,late_interaction,s7_q023,51.823,ndcg@3,0.0,cross_encoder
7,synthetic_research_collection,hybrid,s7_q023,51.823,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q000,51.261,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q000,51.261,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q000,51.261,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,hybrid,s11_q000,51.261,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q001,51.988,ndcg@3,0.4693,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q001,51.988,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q001,51.988,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q001,51.988,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q002,52.052,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q002,52.052,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q002,52.052,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q002,52.052,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q003,51.906,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q003,51.906,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q004,53.446,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q004,53.446,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q004,53.446,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,hybrid,s11_q004,53.446,ndcg@3,1.0,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q005,52.17,ndcg@3,0.2961,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q005,52.17,ndcg@3,0.2961,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q005,52.17,ndcg@3,0.4693,cross_encoder
11,synthetic_research_collection,hybrid,s11_q005,52.17,ndcg@3,0.7654,cross_encoder
11,synthetic_research_collection,dense_exact,s11_q006,104.293,ndcg@3,0.0,sentence_transformer
11,synthetic_research_collection,cross_encoder,s11_q006,104.293,ndcg@3,0.0,cross_encoder
11,synthetic_research_collection,late_interaction,s11_q006,104.293,ndcg@3,1.0,cross_encoder
